27432,292640, 41.37, 0.00, 0.993, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.993, 68.57, 0.455, 104.34, 0.209, 93.02, 0.169
27433,292650, 41.52, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.52, 0.994, 104.34, 0.497, 74.53, 0.180, 69.36, 0.165
27434,292661, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 68.96, 0.372, 93.75, 0.208, 0.00, 0.000
27435,292672, 41.37, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.994, 104.34, 0.399, 95.23, 0.364, 73.17, 0.274
27436,292682, 41.37, 0.00, 0.998, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.998, 73.61, 0.419, 95.23, 0.239, 0.00, 0.000
27437,292693, 41.37, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.994, 95.23, 0.400, 73.17, 0.278, 0.00, 0.000
27438,292704, 41.37, 0.00, 0.990, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.990, 104.34, 0.413, 72.72, 0.370, 0.00, 0.000
27439,292714, 41.37, 0.00, 0.987, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.987, 72.28, 0.411, 96.00, 0.314, 0.00, 0.000
27440,292725, 41.52, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.52, 0.997, 103.44, 0.451, 69.36, 0.277, 0.00, 0.000
27441,292736, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 69.36, 0.463, 97.56, 0.223, 0.00, 0.000
27442,292746, 41.37, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.997, 103.44, 0.515, 72.28, 0.230, 0.00, 0.000
27443,292757, 41.37, 0.00, 0.999, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.999, 71.85, 0.402, 96.77, 0.227, 0.00, 0.000
27444,292768, 41.37, 0.00, 0.993, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.993, 96.77, 0.444, 71.85, 0.355, 0.00, 0.000
27445,292778, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 71.85, 0.458, 96.77, 0.321, 0.00, 0.000
27446,292789, 41.37, 0.00, 0.991, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.991, 97.56, 0.440, 71.00, 0.351, 0.00, 0.000
27447,292800, 41.37, 0.00, 0.991, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.991, 101.69, 0.446, 71.85, 0.390, 0.00, 0.000
27448,292810, 41.37, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.997, 71.42, 0.490, 98.36, 0.293, 0.00, 0.000
27449,292821, 41.37, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.994, 100.00, 0.499, 70.58, 0.292, 0.00, 0.000
27450,292832, 41.37, 0.00, 0.993, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.993, 70.58, 0.515, 98.36, 0.273, 0.00, 0.000
27451,292842, 41.37, 0.00, 0.996, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.996, 99.17, 0.577, 71.42, 0.316, 0.00, 0.000
27452,292853, 41.23, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.995, 71.00, 0.484, 98.36, 0.277, 0.00, 0.000
27453,292864, 41.37, 0.00, 0.986, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.986, 99.17, 0.517, 71.00, 0.434, 0.00, 0.000
27454,292874, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 71.00, 0.502, 98.36, 0.401, 0.00, 0.000
27455,292885, 41.37, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.997, 100.00, 0.452, 70.58, 0.395, 0.00, 0.000
27456,292896, 41.37, 0.00, 0.987, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.987, 99.17, 0.491, 70.58, 0.404, 0.00, 0.000
27457,292906, 41.37, 0.00, 0.988, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.988, 71.00, 0.532, 99.17, 0.259, 0.00, 0.000
27458,292917, 41.23, 0.00, 0.971, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.971, 98.36, 0.524, 71.00, 0.265, 0.00, 0.000
27459,292928, 41.23, 0.00, 0.972, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.972, 71.85, 0.511, 96.77, 0.281, 0.00, 0.000
27460,292938, 41.37, 0.00, 0.869, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.869, 97.56, 0.459, 72.28, 0.395, 0.00, 0.000
27461,292949, 40.67, 0.00, 0.858, 0.000, 0.000, 0.000,0,0,0, 40.67, 0.858, 71.00, 0.531, 88.88, 0.352, 0.00, 0.000
27462,292960, 41.37, 0.00, 0.996, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.996, 100.00, 0.433, 90.22, 0.413, 76.92, 0.398
27463,292970, 41.23, 0.00, 0.979, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.979, 70.58, 0.439, 76.43, 0.418, 88.23, 0.411
27464,292981, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 78.94, 0.470, 100.00, 0.354, 0.00, 0.000
