12931,137962, 74.53, 0.00, 0.810, 0.000, 0.000018, 0.000006,0,0,0, 0.000030, 0.000009, 0.000017, 0.000008, 74.53, 0.810, 37.15, 0.639, 31.41, 0.401, 30.53, 0.271
12932,137973, 74.07, 0.00, 0.498, 0.000, 0.000021, 0.000028,0,0,0, 0.000030, 0.000011, 0.000026, 0.000009, 74.07, 0.498, 37.03, 0.308, 31.25, 0.228, 230.76, 0.100
12933,137984, 42.70, 0.00, 0.397, 0.000, 0.000018, 0.000020,0,0,0, 0.000000, 0.000000, 0.000008, 0.000003, 42.70, 0.397, 36.58, 0.364, 54.29, 0.186, 109.09, 0.092
12934,137994, 73.61, 0.00, 0.407, 0.000, 0.000020, 0.000016,0,0,0, 0.000030, 0.000018, 0.000026, 0.000014, 73.61, 0.407, 54.05, 0.007, 0.00, 0.000, 0.00, 0.000
12935,138005, 76.43, 0.00, 0.780, 0.000, 0.000021, 0.000012,0,0,0, 0.000030, 0.000018, 0.000025, 0.000013, 76.43, 0.780, 35.60, 0.609, 0.00, 0.000, 0.00, 0.000
12936,138016, 75.00, 0.00, 0.729, 0.000, 0.000020, 0.000008,0,0,0, 0.000030, 0.000020, 0.000022, 0.000014, 75.00, 0.729, 37.73, 0.650, 49.58, 0.000, 0.00, 0.000
12937,138026, 75.47, 0.00, 0.839, 0.000, 0.000020, 0.000005,0,0,0, 0.000030, 0.000018, 0.000021, 0.000013, 75.47, 0.839, 37.61, 0.724, 48.97, 0.078, 0.00, 0.000
12938,138037, 74.53, 0.00, 0.688, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000020, 0.000022, 0.000012, 74.53, 0.688, 37.03, 0.574, 33.42, 0.429, 45.28, 0.091
12939,138048, 74.53, 0.00, 0.692, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000024, 0.000022, 0.000013, 74.53, 0.692, 36.92, 0.487, 34.28, 0.302, 44.11, 0.141
12940,138058, 75.00, 0.00, 0.767, 0.000, 0.000019, 0.000005,0,0,0, 0.000030, 0.000021, 0.000021, 0.000013, 75.00, 0.767, 37.50, 0.586, 31.33, 0.193, 43.95, 0.143
12941,138069, 75.00, 0.00, 0.774, 0.000, 0.000018, 0.000004,0,0,0, 0.000030, 0.000024, 0.000018, 0.000013, 75.00, 0.774, 37.50, 0.714, 32.00, 0.153, 43.95, 0.073
12942,138080, 36.80, 0.00, 0.833, 0.000, 0.000019, 0.000012,0,0,0, 0.000030, 0.000022, 0.000023, 0.000014, 36.80, 0.833, 74.53, 0.726, 32.08, 0.273, 55.29, 0.166
12943,138090, 73.61, 0.00, 0.806, 0.000, 0.000020, 0.000011,0,0,0, 0.000030, 0.000022, 0.000023, 0.000013, 73.61, 0.806, 36.69, 0.754, 34.18, 0.160, 110.09, 0.159
12944,138101, 74.53, 0.00, 0.922, 0.000, 0.000020, 0.000009,0,0,0, 0.000030, 0.000024, 0.000022, 0.000013, 74.53, 0.922, 37.15, 0.793, 44.11, 0.352, 108.10, 0.228
12945,138112, 74.53, 0.00, 0.952, 0.000, 0.000020, 0.000011,0,0,0, 0.000030, 0.000024, 0.000022, 0.000012, 74.53, 0.952, 37.50, 0.883, 44.11, 0.171, 107.14, 0.130
12946,138122, 74.53, 0.00, 0.928, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000023, 0.000021, 0.000013, 74.53, 0.928, 37.38, 0.874, 32.17, 0.076, 240.00, 0.073
12947,138133, 37.03, 0.00, 0.935, 0.000, 0.000020, 0.000011,0,0,0, 0.000030, 0.000021, 0.000023, 0.000013, 37.03, 0.935, 74.07, 0.887, 32.08, 0.356, 56.07, 0.253
12948,138144, 36.92, 0.00, 0.904, 0.000, 0.000020, 0.000010,0,0,0, 0.000030, 0.000023, 0.000023, 0.000013, 36.92, 0.904, 73.61, 0.898, 108.10, 0.226, 43.95, 0.214
12949,138154, 74.53, 0.00, 0.948, 0.000, 0.000020, 0.000009,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 74.53, 0.948, 37.26, 0.865, 43.95, 0.272, 107.14, 0.195
12950,138165, 74.53, 0.00, 0.951, 0.000, 0.000019, 0.000006,0,0,0, 0.000030, 0.000025, 0.000020, 0.000012, 74.53, 0.951, 37.15, 0.887, 32.08, 0.262, 240.00, 0.155
12951,138176, 74.53, 0.00, 0.953, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000021, 0.000022, 0.000014, 74.53, 0.953, 37.26, 0.912, 56.60, 0.124, 32.17, 0.115
12952,138186, 74.07, 0.00, 0.918, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000020, 0.000023, 0.000013, 74.07, 0.918, 37.03, 0.903, 32.17, 0.319, 56.33, 0.230
12953,138197, 74.07, 0.00, 0.907, 0.000, 0.000020, 0.000009,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 74.07, 0.907, 37.03, 0.882, 43.95, 0.258, 109.09, 0.222
12954,138208, 74.53, 0.00, 0.922, 0.000, 0.000020, 0.000010,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 74.53, 0.922, 37.26, 0.892, 43.95, 0.181, 107.14, 0.137
12955,138218, 74.53, 0.00, 0.934, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000025, 0.000019, 0.000012, 74.53, 0.934, 37.03, 0.897, 32.00, 0.248, 56.60, 0.129
12956,138229, 74.53, 0.00, 0.945, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000020, 0.000022, 0.000014, 74.53, 0.945, 37.15, 0.907, 32.08, 0.146, 56.60, 0.137
12957,138240, 37.03, 0.00, 0.928, 0.000, 0.000019, 0.000010,0,0,0, 0.000030, 0.000020, 0.000023, 0.000012, 37.03, 0.928, 74.07, 0.909, 32.34, 0.169, 56.60, 0.154
12958,138250, 74.53, 0.00, 0.904, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000024, 0.000022, 0.000014, 74.53, 0.904, 37.15, 0.876, 43.95, 0.268, 108.10, 0.180
12959,138261, 74.53, 0.00, 0.931, 0.000, 0.000020, 0.000009,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 74.53, 0.931, 37.26, 0.892, 43.95, 0.115, 107.14, 0.094
12960,138272, 74.53, 0.00, 0.950, 0.000, 0.000019, 0.000006,0,0,0, 0.000030, 0.000024, 0.000019, 0.000012, 74.53, 0.950, 37.15, 0.922, 32.08, 0.191, 56.87, 0.083
12961,138282, 74.53, 0.00, 0.955, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000020, 0.000022, 0.000014, 74.53, 0.955, 37.15, 0.929, 32.17, 0.160, 56.33, 0.152
12962,138293, 74.07, 0.00, 0.947, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000020, 0.000022, 0.000012, 74.07, 0.947, 37.03, 0.932, 44.11, 0.140, 109.09, 0.126
12963,138304, 74.53, 0.00, 0.949, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000024, 0.000022, 0.000014, 74.53, 0.949, 37.03, 0.911, 43.95, 0.273, 108.10, 0.182
12964,138314, 74.53, 0.00, 0.958, 0.000, 0.000020, 0.000009,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 74.53, 0.958, 37.26, 0.921, 32.08, 0.144, 56.87, 0.081
12965,138325, 74.53, 0.00, 0.950, 0.000, 0.000019, 0.000006,0,0,0, 0.000030, 0.000023, 0.000019, 0.000013, 74.53, 0.950, 37.15, 0.928, 32.00, 0.114, 235.29, 0.045
12966,138336, 37.03, 0.00, 0.972, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000019, 0.000022, 0.000014, 37.03, 0.972, 74.53, 0.936, 32.17, 0.180, 56.33, 0.169
12967,138346, 74.07, 0.00, 0.949, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000021, 0.000022, 0.000013, 74.07, 0.949, 37.03, 0.935, 44.11, 0.146, 108.10, 0.146
12968,138357, 74.53, 0.00, 0.954, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 74.53, 0.954, 37.15, 0.892, 43.95, 0.188, 108.10, 0.128
12969,138368, 74.53, 0.00, 0.957, 0.000, 0.000020, 0.000007,0,0,0, 0.000030, 0.000023, 0.000022, 0.000012, 74.53, 0.957, 37.26, 0.908, 32.08, 0.066, 56.87, 0.040
12970,138378, 37.15, 0.00, 0.854, 0.000, 0.000019, 0.000005,0,0,0, 0.000030, 0.000020, 0.000020, 0.000014, 37.15, 0.854, 74.53, 0.844, 31.91, 0.082, 43.63, 0.052
12971,138389, 75.00, 0.00, 0.756, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000017, 0.000022, 0.000013, 75.00, 0.756, 37.38, 0.522, 44.28, 0.255, 56.07, 0.049
12972,138400, 37.26, 0.00, 0.705, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000019, 0.000022, 0.000012, 37.26, 0.705, 74.53, 0.461, 44.77, 0.150, 112.14, 0.028
12973,138410, 75.00, 0.00, 0.551, 0.000, 0.000019, 0.000005,0,0,0, 0.000030, 0.000024, 0.000021, 0.000014, 75.00, 0.551, 33.80, 0.457, 36.58, 0.352, 60.30, 0.158
12974,138421, 81.08, 0.00, 0.536, 0.000, 0.000019, 0.000006,0,0,0, 0.000030, 0.000022, 0.000021, 0.000013, 81.08, 0.536, 40.26, 0.415, 34.28, 0.205, 30.22, 0.048
12975,138432, 41.66, 0.00, 0.559, 0.000, 0.000018, 0.000004,0,0,0, 0.000030, 0.000020, 0.000019, 0.000013, 41.66, 0.559, 43.32, 0.553, 93.02, 0.544, 31.08, 0.258
12976,138442, 96.77, 0.00, 0.644, 0.000, 0.000018, 0.000003,0,0,0, 0.000030, 0.000017, 0.000019, 0.000012, 96.77, 0.644, 32.87, 0.520, 30.30, 0.518, 48.78, 0.467
12977,138453, 32.52, 0.00, 0.727, 0.000, 0.000019, 0.000012,0,0,0, 0.000030, 0.000022, 0.000023, 0.000014, 32.52, 0.727, 97.56, 0.668, 48.38, 0.580, 43.16, 0.053
12978,138464, 96.77, 0.00, 0.733, 0.000, 0.000019, 0.000008,0,0,0, 0.000030, 0.000024, 0.000021, 0.000013, 96.77, 0.733, 47.43, 0.583, 32.00, 0.574, 42.70, 0.545
12979,138474, 96.77, 0.00, 0.683, 0.000, 0.000020, 0.000019,0,0,0, 0.000030, 0.000027, 0.000025, 0.000011, 96.77, 0.683, 47.61, 0.559, 42.55, 0.554, 32.60, 0.389
12980,138485, 98.36, 0.00, 0.585, 0.000, 0.000019, 0.000013,0,0,0, 0.000030, 0.000015, 0.000018, 0.000012, 98.36, 0.585, 49.79, 0.420, 42.70, 0.369, 30.53, 0.322
12981,138496, 30.37, 0.00, 0.616, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000025, 0.000023, 0.000013, 30.37, 0.616, 32.87, 0.366, 44.11, 0.322, 98.36, 0.313
12982,138506, 42.25, 0.00, 0.543, 0.000, 0.000019, 0.000006,0,0,0, 0.000030, 0.000022, 0.000021, 0.000013, 42.25, 0.543, 33.14, 0.517, 36.92, 0.454, 49.18, 0.369
12983,138517, 48.58, 0.00, 0.528, 0.000, 0.000019, 0.000009,0,0,0, 0.000030, 0.000023, 0.000022, 0.000013, 48.58, 0.528, 32.17, 0.513, 98.36, 0.396, 42.55, 0.343
12984,138528, 97.56, 0.00, 0.591, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000024, 0.000021, 0.000013, 97.56, 0.591, 32.34, 0.547, 48.58, 0.466, 42.55, 0.424
12985,138538, 99.17, 0.00, 0.594, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000019, 0.000021, 0.000012, 99.17, 0.594, 49.58, 0.543, 32.52, 0.481, 30.22, 0.216
12986,138549, 49.38, 0.00, 0.557, 0.000, 0.000020, 0.000010,0,0,0, 0.000030, 0.000025, 0.000023, 0.000013, 49.38, 0.557, 30.07, 0.551, 97.56, 0.425, 32.00, 0.307
12987,138560, 43.01, 0.00, 0.625, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000017, 0.000018, 0.000013, 43.01, 0.625, 30.53, 0.459, 48.78, 0.370, 33.14, 0.324
12988,138570, 43.16, 0.00, 0.600, 0.000, 0.000020, 0.000015,0,0,0, 0.000030, 0.000026, 0.000024, 0.000013, 43.16, 0.600, 49.18, 0.524, 74.53, 0.288, 333.33, 0.180
12989,138581, 48.78, 0.00, 0.575, 0.000, 0.000020, 0.000010,0,0,0, 0.000030, 0.000022, 0.000022, 0.000013, 48.78, 0.575, 42.70, 0.569, 32.96, 0.528, 96.77, 0.374
12990,138592, 32.52, 0.00, 0.646, 0.000, 0.000019, 0.000007,0,0,0, 0.000030, 0.000020, 0.000020, 0.000013, 32.52, 0.646, 96.00, 0.453, 48.38, 0.372, 43.01, 0.211
12991,138602, 32.78, 0.00, 0.773, 0.000, 0.000019, 0.000005,0,0,0, 0.000030, 0.000023, 0.000021, 0.000013, 32.78, 0.773, 49.18, 0.528, 96.00, 0.513, 0.00, 0.000
12992,138613, 38.21, 0.00, 0.395, 0.000, 0.000020, 0.000015,0,0,0, 0.000030, 0.000021, 0.000024, 0.000012, 38.21, 0.395, 96.77, 0.216, 49.79, 0.207, 60.60, 0.191
12993,138624, 30.84, 0.00, 0.780, 0.000, 0.000021, 0.000015,0,0,0, 0.000030, 0.000021, 0.000025, 0.000012, 30.84, 0.780, 62.50, 0.360, 54.79, 0.278, 38.83, 0.005
12994,138634, 30.07, 0.00, 0.668, 0.000, 0.000020, 0.000010,0,0,0, 0.000030, 0.000019, 0.000021, 0.000013, 30.07, 0.668, 57.69, 0.536, 33.05, 0.261, 0.00, 0.000
12995,138645, 36.03, 0.00, 0.703, 0.000, 0.000020, 0.000007,0,0,0, 0.000030, 0.000024, 0.000022, 0.000014, 36.03, 0.703, 75.94, 0.213, 94.48, 0.179, 0.00, 0.000
